Airline_Name,Airline_ID,Aircraft_Model,Flight_Type,Source_Airport_Name,Source_Airport_Code,Destination_Airport_Name,Destination_Airport_Code,Airport_region_code,Departure Date,Scheduled_Depature,Actual_Depature,Scheduled_Arrival,Actual_Arrival,Arrival_Date,FREQUENCY,Travel_Time,Accuracy,Validity,Completeness,,,,
Singapore_Airlines,B6202,Airbus A320,International,Bolzano Airport,BZO,Moreton Airport,MET,IT-,8/11/2022,2:03 PM,3:01 PM,4:56 PM,5:30 PM,8/11/2022,biweekly,2:28,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,SY808,Boeing 787,DOM,,PMC,Doini Airport,DOI,CL-SA,8/9/2022,4:06 AM,4:36 AM,6:17 AM,7:05 AM,8/9/2022,monthly,2:29,ACCURATE,VALID,COMPLETE,,,,
Vistara,NK404,Airbus A330,INT,Cape Lisburne LRRS Airport,LUR,Portsmouth International at Pease Airport,PSM,US-,6/17/2022,1:38 AM,3:17 AM,3:49 AM,5:50 AM,6/17/2022,monthly,2:32,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,AA123,Airbus A320,INT,Dinwiddie County Airport,PTB,Minami Torishima Airport,MUS,US-NA,6/16/2022,1:01 AM,2:35 AM,2:50 AM,5:09 AM,6/16/2022,bimonthly,2:34,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,F9505,Boeing 737,Domestic,Heriberto Gíl Martínez Airport,ULQ,Adi Sumarmo Wiryokusumo Airport,SOC,CO-SA,7/28/2022,5:05 PM,5:20 PM,7:24 PM,7:55 PM,7/28/2022,daily,2:34,ACCURATE,VALID,COMPLETE,,,,
Air_France,F9505,Airbus A330,International,Jérémie Airport,JEE,Shreveport Downtown Airport,DTN,HT-NA,11/26/2022,1:18 PM,3:39 PM,5:08 PM,6:17 PM,11/26/2022,biweekly,2:37,ACCURATE,VALID,COMPLETE,,,,
Qantas,DL456,Airbus A320,INT,Ferkessedougou Airport,FEK,Ballalae Airport,BAS,CI-AF,1/12/2022,4:16 AM,5:03 AM,6:10 AM,7:42 AM,1/12/2022,biweekly,2:38,ACCURATE,VALID,COMPLETE,,,,
Emirates,WN101,Airbus A320,Domestic,,CAL,,TKQ,GB-EU,12/30/2022,4:48 AM,5:45 AM,7:59 AM,8:24 AM,12/30/2022,biweekly,2:39,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,HA707,Boeing 737,International,Dobbins Air Reserve Base,MGE,Taree Airport,TRO,US-NA,7/19/2022,1:07 AM,2:17 AM,4:58 AM,5:01 AM,7/19/2022,daily,2:43,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,G4606,Airbus A380,Domestic,Mechanics Bay Heliport,MHB,Binaka Airport,GNS,NZ-OC,1/17/2022,4:41 AM,4:59 AM,7:34 AM,7:43 AM,1/17/2022,daily,2:44,ACCURATE,VALID,COMPLETE,,,,
Air_France,DL456,Airbus A380,Domestic,,ZLR,General Enrique Mosconi Airport,TTG,CL-SA,10/26/2022,12:15 AM,2:13 AM,2:58 AM,5:07 AM,10/26/2022,weekly,2:53,ACCURATE,VALID,COMPLETE,,,,
Ethihad,AS303,Airbus A320,Domestic,Montluçon-Guéret Airport,MCU,Campo do Meio Airport,0,FR-EU,10/20/2022,4:21 PM,7:02 PM,8:44 PM,9:57 PM,10/20/2022,bimonthly,2:54,ACCURATE,VALID,COMPLETE,,,,
Qantas,B6202,Airbus A380,International,Drummond Island Airport,DRE,Merville-Calonne Airport,HZB,US-,7/31/2022,3:43 PM,4:30 PM,5:02 PM,7:27 PM,,weekly,2:56,ACCURATE,VALID,INCOMPLETE,,,,
Delta_Airlines,F9505,Airbus A380,INT,,GLZ,Capanda Airport,KNP,NL-EU,8/18/2022,6:13 AM,8:21 AM,10:11 AM,11:19 AM,8/18/2022,monthly,2:57,ACCURATE,VALID,COMPLETE,,,,
Vistara,SY808,Airbus A320,International,Lonesome Pine Airport,LNP,San Francisco International Airport,SFO,US-NA,7/1/2022,6:09 PM,7:05 PM,7:22 PM,10:04 PM,7/1/2022,daily,2:58,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,F9505,Boeing 747,International,Jeju International Airport,CJU,Lalmonirhat Airport,LLJ,KR-AS,8/1/2022,1:53 AM,2:03 AM,3:41 AM,5:06 AM,8/1/2022,daily,3:03,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,WN101,Airbus A320,International,Utirik Airport,UTK,Anápolis Airport,,MH-OC,8/9/2022,3:38 PM,5:55 PM,8:08 PM,8:59 PM,8/9/2022,weekly,3:04,ACCURATE,VALID,COMPLETE,,,,
Air_France,AA123,Boeing 787,Domestic,Murrin Murrin Airport,WUI,Rouses Point Seaplane Base,RSX,,7/11/2022,6:28 AM,7:48 AM,10:27 AM,10:53 AM,7/11/2022,bimonthly,3:05,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,DL456,Airbus A320,Domestic,Syukuran Aminuddin Amir Airport,LUW,,NCS,ID-,8/6/2022,1:18 PM,1:49 PM,3:18 PM,4:55 PM,8/6/2022,daily,3:06,ACCURATE,VALID,COMPLETE,,,,
Vistara,B6202,Boeing 787,International,Mainoru Airstrip,MIZ,Saidpur Airport,SPD,AU-OC,5/17/2022,9:04 AM,9:45 AM,11:40 AM,12:52 PM,,monthly,3:07,ACCURATE,VALID,INCOMPLETE,,,,
Cathay_Pacific,AA123,Boeing 737,International,Cupul Airport,TZM,Warrnambool Airport,WMB,MX-NA,5/3/2022,1:10 PM,2:47 PM,4:50 PM,5:55 PM,5/3/2022,bimonthly,3:07,ACCURATE,VALID,COMPLETE,,,,
Ethihad,HA707,Boeing 787,DOM,Juanjui Airport,JJI,Nan Airport,NNT,PE-SA,8/19/2022,2:31 PM,4:08 PM,5:49 PM,7:17 PM,8/19/2022,biweekly,3:08,ACCURATE,VALID,COMPLETE,,,,
Vistara,UA789,Boeing 787,DOM,Douala International Airport,DLA,Repulse Bay Airport,YUT,CM-AF,2/2/2022,7:54 AM,10:38 AM,1:27 PM,1:47 PM,2/2/2022,biweekly,3:09,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,AS303,Airbus A330,INT,Pukapuka Island Airport,PZK,Şırnak Şerafettin Elçi Airport,NKT,CK-OC,1/13/2022,8:25 AM,9:44 AM,10:10 AM,12:55 PM,,daily,3:10,ACCURATE,VALID,INCOMPLETE,,,,
Air_France,G4606,Boeing 777,Domestic,Nullabor Motel Airport,NUR,Lebakeng Airport,LEF,AU-OC,7/14/2022,10:06 AM,11:54 AM,12:46 PM,3:06 PM,7/14/2022,daily,3:12,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,UA789,Airbus A380,International,Codrington Airport,BBQ,Francistown Airport,FRW,,9/11/2022,7:24 PM,7:36 PM,10:29 PM,10:50 PM,9/11/2022,biweekly,3:14,ACCURATE,VALID,COMPLETE,,,,
Ethihad,F9505,Boeing 777,INT,Lake Brooks Seaplane Base,BKF,Sir Bani Yas Airport,XSB,US-NA,10/14/2022,8:20 PM,8:40 PM,10:56 PM,11:54 PM,10/14/2022,monthly,3:14,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,HA707,Airbus A330,Domestic,Surkhet Airport,SKH,Jubail Airport,QJB,NP-AS,8/29/2022,6:55 AM,7:38 AM,10:39 AM,10:59 AM,8/29/2022,monthly,3:20,ACCURATE,VALID,COMPLETE,,,,
Ethihad,AS303,Airbus A320,International,Ryan's Creek Aerodrome,SZS,,AUF,NZ-OC,5/20/2022,12:35 PM,2:08 PM,4:07 PM,5:32 PM,5/20/2022,weekly,3:23,ACCURATE,VALID,COMPLETE,,,,
Ethihad,AA123,Airbus A320,INT,Böblingen Flugfeld,PHM,Magaruque Airport,MFW,DE-EU,11/14/2022,5:07 PM,7:41 PM,8:18 PM,11:05 PM,11/14/2022,weekly,3:24,ACCURATE,VALID,COMPLETE,,,,
Vistara,B6202,Boeing 737,Domestic,Atbasar Airport,ATX,Cerro Largo International Airport,MLZ,,3/11/2022,2:19 PM,4:54 PM,8:04 PM,8:21 PM,3/11/2022,biweekly,3:26,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,B6202,Boeing 737,Domestic,Ely Municipal Airport,LYU,El Bagre Airport,EBG,,6/9/2022,6:13 AM,8:00 AM,10:55 AM,11:29 AM,6/9/2022,weekly,3:28,ACCURATE,VALID,COMPLETE,,,,
Ethihad,DL456,Airbus A320,INT,Saenz Peña Airport,SZQ,Flinders Island Airport,FLS,AR-SA,5/27/2022,8:34 PM,8:46 PM,11:45 PM,12:17 AM,5/27/2022,weekly,3:31,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,WN101,Airbus A350,International,,RJI,Bettles Airport,BTT,IN-AS,4/27/2022,3:53 PM,6:50 PM,7:52 PM,10:23 PM,4/27/2022,daily,3:32,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,HA707,Boeing 777,International,Yaoundé Nsimalen International Airport,NSI,Karlsruhe Baden-Baden Airport,FKB,CM-AF,1/25/2022,12:34 AM,1:51 AM,4:54 AM,5:26 AM,1/25/2022,daily,3:35,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,NK404,Airbus A380,International,Mucuri Airport,MVS,Morawa Airport,MWB,BR-SA,2/24/2022,8:26 AM,10:27 AM,12:25 PM,2:03 PM,2/24/2022,bimonthly,3:36,ACCURATE,VALID,COMPLETE,,,,
Air_France,AA123,Airbus A330,International,Iliamna Airport,ILI,Long Sukang Airport,LSU,US-NA,5/10/2022,4:39 AM,6:28 AM,9:32 AM,10:05 AM,5/10/2022,weekly,3:36,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,UA789,Boeing 777,Domestic,Monteagudo Airport,MHW,Lawrence Municipal Airport,LWC,BO-SA,10/26/2022,2:49 PM,5:25 PM,7:05 PM,9:03 PM,10/26/2022,weekly,3:37,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,DL456,Airbus A320,INT,Bilaspur Airport,PAB,Tupai Airport,TPX,IN-AS,4/14/2022,6:24 PM,6:40 PM,9:22 PM,10:21 PM,4/14/2022,monthly,3:40,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,SY808,Airbus A320,Domestic,Overberg Airport,OVG,Diosdado Macapagal International Airport,CRK,ZA-AF,9/19/2022,2:33 AM,4:43 AM,5:34 AM,8:24 AM,9/19/2022,monthly,3:40,ACCURATE,VALID,COMPLETE,,,,
Ethihad,DL456,Airbus A320,International,Tengah Air Base,TGA,Carmel Valley,O62,SG-AS,1/27/2022,8:05 AM,10:46 AM,12:24 PM,2:27 PM,1/27/2022,daily,3:41,ACCURATE,VALID,COMPLETE,,,,
Ethihad,B6202,Airbus A380,Domestic,Kolwezi Airport,KWZ,Staniel Cay Airport,TYM,CD-AF,6/24/2022,2:02 AM,2:10 AM,4:22 AM,5:52 AM,6/24/2022,monthly,3:42,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,B6202,Boeing 747,Domestic,Moma Airport,MQJ,Mendeleyevo Airport,DEE,RU-,10/23/2022,2:51 PM,4:03 PM,5:31 PM,7:47 PM,10/23/2022,weekly,3:43,ACCURATE,VALID,COMPLETE,,,,
Vistara,WN101,Boeing 787,International,,GNB,Aseki Airport,AEK,FR-EU,7/14/2022,1:09 PM,2:57 PM,5:16 PM,6:41 PM,7/14/2022,daily,3:43,ACCURATE,VALID,COMPLETE,,,,
Emirates,F9505,Airbus A380,International,Kent International Airport,MSE,Trois-Rivières Airport,YRQ,GB-EU,2/20/2022,7:57 AM,8:53 AM,11:43 AM,12:40 PM,2/20/2022,biweekly,3:46,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,B6202,Boeing 787,Domestic,Wapekeka Airport,YAX,Victoria Airport,ZIC,CA-NA,3/28/2022,1:52 AM,4:12 AM,6:17 AM,7:58 AM,3/28/2022,weekly,3:46,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,AS303,Boeing 787,Domestic,Magway Airport,MWQ,La Guardia Airport,LGA,MM-AS,6/20/2022,7:16 PM,9:10 PM,10:06 PM,12:57 AM,6/20/2022,monthly,3:47,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,G4606,Boeing 737,International,Brigham City Regional Airport,BMC,,URI,US-NA,10/19/2022,2:43 AM,5:01 AM,7:08 AM,8:49 AM,10/19/2022,daily,3:47,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,G4606,Airbus A350,Domestic,Dayong Airport,DYG,Mountain Airport,MWP,CN-AS,6/25/2022,1:37 AM,3:20 AM,4:20 AM,7:09 AM,6/25/2022,monthly,3:49,ACCURATE,VALID,COMPLETE,,,,
Emirates,G4606,Airbus A330,Domestic,,OKB,Hatbox Field,HAX,AU-OC,8/6/2022,6:59 AM,7:31 AM,11:04 AM,11:21 AM,8/6/2022,monthly,3:50,ACCURATE,VALID,COMPLETE,,,,
Ethihad,G4606,Airbus A380,Domestic,São Miguel do Araguaia Airport,SQM,Wenshan Puzhehei Airport,WNH,BR-SA,10/28/2022,7:13 PM,7:15 PM,9:03 PM,11:07 PM,,monthly,3:51,ACCURATE,VALID,INCOMPLETE,,,,
Vistara,HA707,Boeing 777,Domestic,Fontaine Airport,BOR,Kagoshima Airport,KOJ,FR-EU,2/21/2022,7:30 AM,8:44 AM,10:11 AM,12:37 PM,2/21/2022,biweekly,3:52,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,DL456,Boeing 747,Domestic,John Wayne Airport-Orange County Airport,SNA,Moruya Airport,MYA,US-NA,11/24/2022,5:19 AM,7:41 AM,8:52 AM,11:34 AM,11/24/2022,bimonthly,3:53,ACCURATE,VALID,COMPLETE,,,,
Qantas,UA789,Airbus A380,INT,Omsk Central Airport,OMS,Martha's Vineyard Airport,MVY,RU-AS,3/5/2022,9:46 AM,11:12 AM,2:01 PM,3:09 PM,3/5/2022,monthly,3:57,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,AA123,Boeing 787,Domestic,Allah Valley Airport,AAV,Aribinda Airport,XAR,PH-AS,10/1/2022,3:56 PM,4:42 PM,8:13 PM,8:41 PM,10/1/2022,biweekly,3:58,ACCURATE,VALID,COMPLETE,,,,
Qantas,F9505,Airbus A330,Domestic,,CJF,Blackwater Airport,BLT,AU-OC,1/11/2022,2:19 PM,4:41 PM,8:06 PM,8:39 PM,1/11/2022,daily,3:58,ACCURATE,VALID,COMPLETE,,,,
Qantas,AS303,Airbus A350,Domestic,Maripasoula Airport,MPY,São Sepé Airport,0,GF-SA,4/16/2022,2:58 AM,3:32 AM,4:44 AM,7:33 AM,,bimonthly,4:00,ACCURATE,VALID,INCOMPLETE,,,,
United_Airlines,F9505,Boeing 737,Domestic,Cavern City Air Terminal,CNM,Dr. Antonio Nicolás Briceño Airport,VLV,US-NA,1/29/2022,3:23 PM,6:08 PM,8:34 PM,10:09 PM,1/29/2022,monthly,4:00,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,DL456,Boeing 777,DOM,El Tari Airport,KOE,Labo Airport,OZC,ID-AS,3/3/2022,5:02 AM,5:03 AM,8:12 AM,9:04 AM,3/3/2022,monthly,4:01,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,G4606,Airbus A380,Domestic,Tatitlek Airport,TEK,María Dolores Airport,LSQ,US-NA,6/21/2022,11:27 AM,1:18 PM,4:09 PM,5:19 PM,6/21/2022,weekly,4:01,ACCURATE,VALID,COMPLETE,,,,
Vistara,WN101,Boeing 777,Domestic,Gachsaran Airport,GCH,Quatro de Fevereiro Airport,LAD,IR-AS,5/26/2022,4:17 PM,5:58 PM,7:06 PM,10:01 PM,5/26/2022,bimonthly,4:02,ACCURATE,VALID,COMPLETE,,,,
Vistara,WN101,Boeing 737,International,Abilene Regional Airport,ABI,Hamilton Field,SRF,US-NA,11/22/2022,6:16 PM,7:35 PM,9:24 PM,11:40 PM,11/22/2022,biweekly,4:05,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,DL456,Boeing 737,International,,JOM,Muara Bungo Airport,BUU,TZ-AF,1/18/2022,5:39 PM,8:11 PM,10:27 PM,12:21 AM,1/18/2022,weekly,4:09,ACCURATE,VALID,COMPLETE,,,,
Emirates,B6202,Airbus A380,International,Siwo Airport,EAE,Sugimanuru Airport,RAQ,VU-OC,9/24/2022,4:36 AM,4:58 AM,6:49 AM,9:08 AM,9/24/2022,weekly,4:10,ACCURATE,VALID,COMPLETE,,,,
Ethihad,HA707,Airbus A330,Domestic,La Roche-sur-Yon Airport,EDM,Solovki Airport,CSH,FR-EU,12/22/2022,5:43 AM,7:23 AM,8:47 AM,11:36 AM,12/22/2022,bimonthly,4:12,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,SY808,Airbus A330,International,Suia-Missu Airport,SWM,Bario Airport,BBN,BR-SA,12/28/2022,3:45 AM,6:34 AM,10:40 AM,10:47 AM,12/28/2022,biweekly,4:13,ACCURATE,VALID,COMPLETE,,,,
Qantas,G4606,Airbus A380,International,Palmyra Airport,PMS,,TAK,SY-AS,9/30/2022,7:11 AM,7:55 AM,9:56 AM,12:12 PM,9/30/2022,daily,4:16,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,NK404,Boeing 737,International,Changhai Airport,CNI,Kenneth Kaunda International Airport Lusaka,LUN,CN-AS,11/3/2022,1:56 AM,4:54 AM,6:16 AM,9:14 AM,11/3/2022,monthly,4:19,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,WN101,Boeing 737,International,Eppley Airfield,OMA,Socotra International Airport,SCT,US-NA,12/17/2022,5:24 AM,6:47 AM,8:27 AM,11:10 AM,12/17/2022,biweekly,4:23,ACCURATE,VALID,COMPLETE,,,,
Emirates,AS303,Boeing 747,International,Foya Airport,FOY,Ahuas Airport,AHS,,3/24/2022,6:26 AM,7:37 AM,10:50 AM,12:09 PM,3/24/2022,monthly,4:31,ACCURATE,VALID,COMPLETE,,,,
Vistara,WN101,Airbus A320,DOM,Kos Airport,KGS,Mongu Airport,MNR,,9/6/2022,10:03 AM,12:31 PM,2:58 PM,5:04 PM,9/6/2022,daily,4:32,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,WN101,Airbus A320,International,Zhangjiakou Ningyuan Airport,ZQZ,Stronsay Airport,SOY,CN-AS,4/24/2022,2:52 PM,3:39 PM,6:13 PM,8:15 PM,4/24/2022,monthly,4:36,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,F9505,Airbus A320,Domestic,Eskilstuna Airport,EKT,Banmaw Airport,BMO,SE-EU,12/25/2022,6:10 AM,6:13 AM,8:47 AM,10:49 AM,12/25/2022,bimonthly,4:36,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,AS303,Airbus A350,International,Tibú Airport,TIB,Kasaba Bay Airport,ZKB,CO-,2/20/2022,7:22 PM,8:26 PM,10:17 PM,1:04 AM,2/20/2022,weekly,4:37,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,B6202,Boeing 777,INT,Pecos Municipal Airport,PEQ,Rieti Airport,QRT,US-NA,5/1/2022,7:14 PM,8:19 PM,10:22 PM,12:58 AM,5/1/2022,monthly,4:38,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,AS303,Boeing 747,International,Glentanner Airport,GTN,Datadawai Airport,DTD,NZ-OC,6/17/2022,1:01 PM,3:47 PM,6:06 PM,8:25 PM,6/17/2022,weekly,4:38,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,B6202,Boeing 737,Domestic,Taupo Airport,TUO,Sármellék International Airport,SOB,NZ-OC,4/12/2022,1:44 PM,2:13 PM,4:30 PM,6:54 PM,4/12/2022,bimonthly,4:41,ACCURATE,VALID,COMPLETE,,,,
United_Airlines,AS303,Boeing 777,International,Kings Canyon Airport,KBJ,Castro Airport,QAC,AU-OC,12/10/2022,8:49 AM,11:34 AM,3:57 PM,4:19 PM,12/10/2022,monthly,4:45,ACCURATE,VALID,COMPLETE,,,,
Ethihad,NK404,Boeing 737,DOM,Highbury Airport,HIG,Wheeler Army Airfield,HHI,AU-OC,3/25/2022,10:21 AM,11:12 AM,3:47 PM,3:59 PM,3/25/2022,weekly,4:46,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,NK404,Boeing 777,International,Xi'an Xiguan Airport,SIA,General Rivadeneira Airport,ESM,CN-AS,5/11/2022,3:31 PM,5:27 PM,10:01 PM,10:13 PM,5/11/2022,biweekly,4:46,ACCURATE,VALID,COMPLETE,,,,
Vistara,UA789,Boeing 737,International,Fond du Lac County Airport,,Ulawa Airport,RNA,US-NA,3/20/2022,7:02 AM,7:48 AM,12:00 PM,12:38 PM,3/20/2022,bimonthly,4:49,ACCURATE,VALID,COMPLETE,,,,
Ethihad,B6202,Boeing 747,INT,Sahand Airport,ACP,,0,IR-AS,8/19/2022,12:15 AM,2:56 AM,5:18 AM,7:51 AM,8/19/2022,biweekly,4:55,ACCURATE,VALID,COMPLETE,,,,
Qantas,HA707,Airbus A350,INT,Wasum Airport,WUM,Fatmawati Soekarno Airport,BKS,PG-OC,2/20/2022,11:57 AM,1:05 PM,4:36 PM,6:04 PM,2/20/2022,weekly,4:59,ACCURATE,VALID,COMPLETE,,,,
Qantas,B6202,Airbus A350,Domestic,Lamidanda Airport,LDN,Hazyview Airport,HZV,NP-AS,7/25/2022,2:17 AM,4:00 AM,6:07 AM,9:00 AM,7/25/2022,daily,5:00,ACCURATE,VALID,COMPLETE,,,,
